NO_PRODUTO;DS_CATEGORIA_PRODUTO;NO_PRINICIPIO_ATIVO;DS_CONCENTRACAO;DS_DESTINACAO;DS_FORMA_FISICA;DS_RESTRICAO_PRESCRICAO;ST_RESTRITO_HOSPITAL;DS_RESTRICAO_USO
REVLIMID;OUTROS AGENTES IMUNOSSUPRESSORES;lenalidomida;25;;Cápsula dura;;Não;Adulto acima de
REVLIMID;OUTROS AGENTES IMUNOSSUPRESSORES;lenalidomida;20,0;;Cápsula dura;;Não;Adulto acima de
REVLIMID;OUTROS AGENTES IMUNOSSUPRESSORES;lenalidomida;15;;Cápsula dura;;Não;Adulto acima de
REVLIMID;OUTROS AGENTES IMUNOSSUPRESSORES;lenalidomida;5;;Cápsula dura;;Não;Adulto acima de
REVLIMID;OUTROS AGENTES IMUNOSSUPRESSORES;lenalidomida;2,5;;Cápsula dura;;Não;Adulto
REVOLADE;OUTROS PRODUTOS ANTI-HEMORRAGICOS;eltrombopague olamina;50;COMERCIAL;COMPRIMIDO REVESTIDO;VENDA SOB PRESCRICAO MEDICA;Não informado;Adulto
REVOLADE;OUTROS PRODUTOS ANTI-HEMORRAGICOS;eltrombopague olamina;63.8;;COMPRIMIDO REVESTIDO;;Não informado;Adulto
REVOLADE;OUTROS PRODUTOS ANTI-HEMORRAGICOS;eltrombopague olamina;31.9;COMERCIAL;COMPRIMIDO REVESTIDO;VENDA SOB PRESCRICAO MEDICA;Não informado;Adulto
REVOLADE;OUTROS PRODUTOS ANTI-HEMORRAGICOS;eltrombopague olamina;31.9;;COMPRIMIDO REVESTIDO;;Não informado;Adulto
REVOLADE;OUTROS PRODUTOS ANTI-HEMORRAGICOS;eltrombopague olamina;25.00;COMERCIAL;COMPRIMIDO REVESTIDO;VENDA SOB PRESCRICAO MEDICA;Não informado;Adulto
REVOLADE;OUTROS PRODUTOS ANTI-HEMORRAGICOS;eltrombopague olamina;25;COMERCIAL;COMPRIMIDO REVESTIDO;VENDA SOB PRESCRICAO MEDICA;Não informado;Adulto
REXPECONE;EXPECTORANTES BALSAMICOS E MUCOLITICO;CLORIDRATO DE AMBROXOL;6,00;COMERCIAL;XAROPE;VENDA SEM PRESCRIÇAO MEDICA;Não;Adulto e Pediátrico acima de 
REXPECONE;EXPECTORANTES BALSAMICOS E MUCOLITICO;CLORIDRATO DE AMBROXOL;3,00;COMERCIAL;XAROPE;VENDA SEM PRESCRIÇAO MEDICA;Não;Adulto e Pediátrico acima de 
Rexulti;OUTROS ANTIPSICÓTICOS;brexpiprazol;1,00;;Comprimido Revestido ;;Não;Adulto
Rexulti;OUTROS ANTIPSICÓTICOS;brexpiprazol;3,00;;Comprimido Revestido ;;Não;Adulto
Rexulti;OUTROS ANTIPSICÓTICOS;brexpiprazol;0,25;;Comprimido Revestido ;;Não;Adulto
Rexulti;OUTROS ANTIPSICÓTICOS;brexpiprazol;2,00;;Comprimido Revestido ;;Não;Adulto
Rexulti;OUTROS ANTIPSICÓTICOS;brexpiprazol;0,50;;Comprimido Revestido ;;Não;Adulto
REYATAZ;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);SULFATO DE ATAZANAVIR;341,69;;Cápsula dura;;Não;Adulto e Pediátrico acima de 
REYATAZ;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);SULFATO DE ATAZANAVIR;56,95;;Pó para Solução ;;Não;Adulto e Pediátrico acima de 
REYATAZ;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);SULFATO DE ATAZANAVIR;170,84;;Cápsula dura;;Não;Adulto e Pediátrico acima de 
REYATAZ;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);SULFATO DE ATAZANAVIR;227,79;;Cápsula dura;;Não;Adulto e Pediátrico acima de 
RHALUNID;ANTIINFLAMATÓRIOS E ANTIREUMÁTICOS;CETOPROFENO;75,00;;Comprimido de Liberação Prolongada;;Não;Adulto
RIBAVIRINA;ANTIVIROTICOS;RIBAVIRINA;250;;CAPSULA GELATINOSA DURA;VENDA SOB PRESCRICAO MEDICA;Não;Adulto e Pediátrico
RIBOMUSTIN;ANTINEOPLASICOS CITOTOXICOS;CLORIDRATO DE BENDAMUSTINA;100.0;;PO LIOFILO INJETAVEL;;Sim;Adulto
RIBOMUSTIN;ANTINEOPLASICOS CITOTOXICOS;CLORIDRATO DE BENDAMUSTINA;25.0;;PO LIOFILO INJETAVEL;;Sim;Adulto
RICHELOL;VASODILATADORES;MILRINONA;1,0;;SOLUÇAO INJETAVEL;;Não informado;Adulto e Pediátrico
rifamicina SV sódica;RIFAMPICINAS;RIFAMICINA;10;;SOLUÇAO TOPICA;;Não;Adulto e Pediátrico
rifamicina SV sódica;RIFAMPICINAS;RIFAMICINA;10;;SOLUÇAO TOPICA;;Não informado;Adulto e Pediátrico
RIFASAN;ANTIBIOTICOS SISTEMICOS SIMPLES;RIFAMICINA SV SÓDICA;10,00000;;SOLUÇAO TOPICA;;Não;Adulto e Pediátrico
RIFASAN;RIFAMPICINAS;RIFAMICINA;10;;SOLUÇAO TOPICA;;Não;Adulto e Pediátrico
RIFOTRAT;RIFAMPICINAS;RIFAMICINA;10;;SOLUÇAO TOPICA;;Não;Adulto e Pediátrico
RIFOTRAT;RIFAMPICINAS;RIFAMICINA;10.00;;SOLUÇAO TOPICA;;Não;Adulto e Pediátrico
RILUTEK;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;RILUZOL;50,00;;COMPRIMIDO REVESTIDO;;Não;Adulto
RILUZOL;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;RILUZOL;50.000;;COMPRIMIDO REVESTIDO;;Não;Adulto
riluzol;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;RILUZOL;50,00;;COMPRIMIDO REVESTIDO;;Não;Adulto
riluzol;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;RILUZOL;50.0;;COMPRIMIDO REVESTIDO;VENDA SOB PRESCRICAO MEDICA;Não;Adulto
RINGER;REIDRATANTES PARENTERAIS;cloreto de cálcio diidratado;0,033;;Solução Injetável ;;Sim;Adulto e Pediátrico
RINGER;REIDRATANTES PARENTERAIS;CLORETO DE POTÁSSIO;0,030;;Solução Injetável ;;Sim;Adulto e Pediátrico
RINGER;REIDRATANTES PARENTERAIS;CLORETO DE SÓDIO USP;0,860;;Solução Injetável ;;Sim;Adulto e Pediátrico
RINGER COM LACTÁTO DE SÓDIO;OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL;ÁGUA PARA INJETÁVEIS QSP;1;RESTRITO A HOSPITAIS;SOLUÇAO INJETAVEL;VENDA SOB PRESCRICAO MEDICA;Sim;Adulto e Pediátrico
RINGER COM LACTÁTO DE SÓDIO;OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL;ÁGUA PARA INJETÁVEIS QSP;1;RESTRITO A HOSPITAIS;SOLUÇAO INJETAVEL;RESTRITO A HOSPITAIS;Sim;Adulto e Pediátrico
RINGER COM LACTÁTO DE SÓDIO;OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL;cloreto de cálcio diidratado;0.0002;RESTRITO A HOSPITAIS;SOLUÇAO INJETAVEL;VENDA SOB PRESCRICAO MEDICA;Sim;Adulto e Pediátrico
RINGER COM LACTÁTO DE SÓDIO;OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL;cloreto de cálcio diidratado;0.0002;RESTRITO A HOSPITAIS;SOLUÇAO INJETAVEL;RESTRITO A HOSPITAIS;Sim;Adulto e Pediátrico
RINGER COM LACTÁTO DE SÓDIO;OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL;CLORETO DE POTÁSSIO;0.0003;RESTRITO A HOSPITAIS;SOLUÇAO INJETAVEL;VENDA SOB PRESCRICAO MEDICA;Sim;Adulto e Pediátrico
RINGER COM LACTÁTO DE SÓDIO;OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL;CLORETO DE POTÁSSIO;0.0003;RESTRITO A HOSPITAIS;SOLUÇAO INJETAVEL;RESTRITO A HOSPITAIS;Sim;Adulto e Pediátrico
RINGER COM LACTÁTO DE SÓDIO;OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL;CLORETO DE SÓDIO;0.006;RESTRITO A HOSPITAIS;SOLUÇAO INJETAVEL;VENDA SOB PRESCRICAO MEDICA;Sim;Adulto e Pediátrico
RINGER COM LACTÁTO DE SÓDIO;OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL;CLORETO DE SÓDIO;0.006;RESTRITO A HOSPITAIS;SOLUÇAO INJETAVEL;RESTRITO A HOSPITAIS;Sim;Adulto e Pediátrico
